Date,Time,Out_Temp,Out_Hum,Wind_Speed,Rain,Solar_Rad,Date_time,DOY
29/12/04,6:00 pm,27.2,0.56,0,0,10.49688,2004-12-29 18:00:00,364
29/12/04,7:00 pm,26.7,0.58,0,0,2.92536,2004-12-29 19:00:00,364
29/12/04,8:00 pm,26.9,0.59,0,0,0,2004-12-29 20:00:00,364
29/12/04,9:00 pm,26.6,0.61,0,0,0,2004-12-29 21:00:00,364
29/12/04,10:00 pm,25.1,0.64,0,0,0,2004-12-29 22:00:00,364
29/12/04,11:00 pm,24.9,0.64,0,0,0,2004-12-29 23:00:00,364
30/12/04,12:00 am,24.7,0.66,0,0,0,2004-12-30 00:00:00,365
30/12/04,1:00 am,24.2,0.69,0,0,0,2004-12-30 01:00:00,365
30/12/04,2:00 am,23.7,0.68,0,0,0,2004-12-30 02:00:00,365
30/12/04,3:00 am,23.3,0.69,0,0,0,2004-12-30 03:00:00,365
30/12/04,4:00 am,23,0.69,0,0,0,2004-12-30 04:00:00,365
30/12/04,5:00 am,22.6,0.7,0,0,0,2004-12-30 05:00:00,365
30/12/04,6:00 am,22.3,0.71,0,0,0,2004-12-30 06:00:00,365
30/12/04,7:00 am,20,0.92,1.6,0,1.46268,2004-12-30 07:00:00,365
30/12/04,8:00 am,20.8,0.84,0,0,18.32652,2004-12-30 08:00:00,365
30/12/04,9:00 am,23,0.77,3.2,0,40.18068,2004-12-30 09:00:00,365
30/12/04,10:00 am,25.1,0.68,4.8,0,59.3676,2004-12-30 10:00:00,365
30/12/04,11:00 am,26.9,0.63,1.6,0,75.02688,2004-12-30 11:00:00,365
30/12/04,12:00 pm,28.1,0.51,3.2,0,86.12604,2004-12-30 12:00:00,365
30/12/04,1:00 pm,29.3,0.56,4.8,0,96.88104,2004-12-30 13:00:00,365
30/12/04,2:00 pm,29.9,0.52,6.4,0,98.85996,2004-12-30 14:00:00,365
30/12/04,3:00 pm,30.7,0.48,6.4,0,93.09528,2004-12-30 15:00:00,365
30/12/04,4:00 pm,31.1,0.46,6.4,0,81.65196,2004-12-30 16:00:00,365
30/12/04,5:00 pm,31.4,0.47,4.8,0,66.76704,2004-12-30 17:00:00,365
30/12/04,6:00 pm,31.3,0.5,4.8,0,46.63368,2004-12-30 18:00:00,365
30/12/04,7:00 pm,30.6,0.57,4.8,0,28.65132,2004-12-30 19:00:00,365
30/12/04,8:00 pm,28.1,0.72,3.2,0,9.63648,2004-12-30 20:00:00,365
30/12/04,9:00 pm,23.7,0.81,3.2,0,0.4302,2004-12-30 21:00:00,365
