"RP", "peso"
"1", 1336, 275
"2", 2615, 295
"3", 1769, 294
"4", 1654, 286
"5", 2202, 300
"6", 2206, 277
"7", 1248, 303
"8", 1587, 263
"9", 2151, 303
"10", 2256, 286
"11", 2019, 333
"12", 2004, 281
"13", 2062, 329
"14", 2107, 275
"15", 2724, 266
"16", 2647, 285
"17", 1221, 281
"18", 2396, 262
"19", 2779, 247
"20", 1554, 301
"21", 1452, 335
"22", 1030, 321
"23", 1255, 273
"24", 1184, 304
"25", 1468, 263
"26", 2563, 338
"27", 2184, 302
"28", 2796, 323
"29", 2105, 305
"30", 2490, 285
"31", 1747, 261
"32", 1735, 288
"33", 1335, 265
"34", 1892, 286
"35", 1508, 331
"36", 1661, 304
"37", 2748, 292
"38", 1396, 340
"39", 2136, 282
"40", 1407, 332
"41", 1551, 299
"42", 2541, 291
"43", 1338, 314
"44", 2117, 245
"45", 1820, 298
"46", 1523, 275
"47", 1093, 358
"48", 1202, 265
"49", 1613, 319
"50", 2562, 326
"51", 1447, 307
"52", 1415, 317
"53", 2709, 258
"54", 2934, 289
"55", 2643, 294
"56", 2771, 309
"57", 1916, 338
"58", 1436, 285
"59", 2994, 307
"60", 1543, 319
"61", 2584, 255
"62", 1111, 288
"63", 2556, 363
"64", 2953, 316
"65", 2484, 280
"66", 1590, 309
"67", 2488, 301
"68", 2045, 298
"69", 1700, 349
"70", 1178, 343
"71", 2467, 309
"72", 2468, 313
"73", 2742, 272
"74", 2862, 275
"75", 1992, 318
"76", 2058, 343
"77", 1315, 289
"78", 1316, 257
"79", 2512, 281
"80", 2443, 228
"81", 2506, 292
"82", 2991, 290
"83", 1725, 383
"84", 1016, 314
"85", 2831, 308
"86", 2606, 311
"87", 1408, 306
"88", 1946, 330
"89", 2217, 293
"90", 2761, 286
"91", 1022, 318
"92", 1510, 310
"93", 1831, 303
"94", 2582, 364
"95", 2660, 252
"96", 1478, 309
"97", 1617, 347
"98", 1583, 326
"99", 1350, 311
"100", 2293, 276
"101", 2456, 282
"102", 2296, 303
"103", 1397, 328
"104", 2351, 343
"105", 2148, 300
"106", 1645, 267
"107", 1078, 343
"108", 1760, 252
"109", 1149, 263
"110", 1591, 283
"111", 1614, 300
"112", 1148, 294
"113", 1283, 250
"114", 1287, 335
"115", 2723, 279
"116", 2324, 397
"117", 2546, 274
"118", 2253, 359
"119", 2961, 447
"120", 1871, 200
"121", 2348, 374
"122", 2545, 203
"123", 2542, 296
