planta   longitud
1        15
2        12
3        5
4        10
5        10
6        12
7        13
8        11
9        12
10       13
11       10
12       13
13       11
14       12
15       14
16       10
17       11
18       12
19       18
20       12
21       10
22       21
23       13
24       10
25       14
26       13
27       11
28       13
29       10
30       14
31       7
32       11
33       11
34       15
35       14
36       14
37       13
38       12
39       13
40       10
41       23
42       13
43       14
44       10
45       10
46       13
47       13
48       11
49       11
50       12
51       11
52       11
53       10
54       12
55       11
56       15
57       13
58       13
59       10
60       11
61       11
62       13
63       12
64       14
65       12
66       13
67       9
68       14
69       15
70       12
71       14
72       12
73       13
74       12
75       13
        
